Any;Mes;Feiner;Festiu;Data
2019;1;20116594,0;5743241,0;2019-01
2019;2;18829857,0;5667220,0;2019-02
2019;3;20083624,0;7216443,0;2019-03
2019;4;18732237,0;7215133,0;2019-04
2019;5;21207258,0;6744168,0;2019-05
2019;6;17880769,0;8936823,0;2019-06
2019;7;22757500,0;6042595,0;2019-07
2019;8;16869331,0;6203221,0;2019-08
2019;9;18058899,0;7445780,0;2019-09
2019;10;21091269,0;5475461,0;2019-10
2019;11;18789614,0;6781545,0;2019-11
2019;12;17218532,0;8008516,0;2019-12
2020;1;18942339,0;6335829,0;2020-01
2020;2;18730344,0;6348107,0;2020-02
2020;3;12751653,0;2842817,0;2020-03
2020;4;5620193,0;684780,0;2020-04
2020;5;9618010,0;1523221,0;2020-05
2020;6;15195231,0;5350526,0;2020-06
2020;7;19851344,0;4903584,0;2020-07
2020;8;14826311,0;5220699,0;2020-08
2020;9;17012846,0;6056968,0;2020-09
2020;10;17333378,0;5044952,0;2020-10
2020;11;16082363,0;1375406,0;2020-11
2020;12;16902343,0;2940199,0;2020-12
2021;1;13620438,0;3125220,0;2021-01
2021;2;15536474,0;2433365,0;2021-02
2021;3;19512031,0;3803756,0;2021-03
2021;4;16825585,0;4309547,0;2021-04
2021;5;18084105,0;6964307,0;2021-05
2021;6;19715519,0;6071276,0;2021-06
2021;7;20539683,0;6208460,0;2021-07
2021;8;16644367,0;5176017,0;2021-08
2021;9;19525173,0;6008501,0;2021-09
2021;10;18906382,0;7362847,0;2021-10
2021;11;19270849,0;6004738,0;2021-11
2021;12;18045175,0;6113646,0;2021-12
2022;1;16163069,0;5902795,0;2022-01
2022;2;18038255,0;5190875,0;2022-02
2022;3;20455712,0;4985825,0;2022-03
2022;4;17333191,0;7056539,0;2022-04
2022;5;20166556,0;6347181,0;2022-05
2022;6;18957428,0;6782103,0;2022-06
2022;7;19757166,0;7041418,0;2022-07
2022;8;16977739,0;5208190,0;2022-08
2022;9;19920055,0;5235514,0;2022-09
2022;10;18113854,0;7469902,0;2022-10
2022;11;18919596,0;5871000,0;2022-11
2022;12;16986207,0;7461044,0;2022-12
2023;1;17647558,0;5968783,0;2023-01
2023;2;17402638,0;5177207,0;2023-02
2023;3;20475842,0;5561079,0;2023-03
2023;4;16010377,0;7749447,0;2023-04
2023;5;19018913,0;7129219,0;2023-05
2023;6;20229478,0;5580342,0;2023-06
2023;7;19487792,0;7331074,0;2023-07
2023;8;16909165,0;5034602,0;2023-08
2023;9;17610569,0;6571336,0;2023-09
2023;10;16906189,0;6694989,0;2023-10
